DTree,0.7713202779532533,gini,random,40,1980143202
DTree,0.7650031585596968,gini,random,40,1304502015
DTree,0.7738471257106759,gini,random,50,1491010067
DTree,0.7561591914087177,gini,random,50,1429002369
DTree,0.7631080227416298,gini,random,50,1975241172
DTree,0.7542640555906507,gini,random,50,764318652
DTree,0.7694251421351863,gini,random,50,843180921
DTree,0.7586860391661402,gini,random,50,194758184
DTree,0.7447883765003158,gini,random,50,1779153323
DTree,0.7656348704990524,gini,random,50,1471271883
DTree,0.7586860391661402,gini,random,50,94031701
DTree,0.7605811749842072,gini,random,50,1211155716
DTree,0.7612128869235628,gini,random,50,867078503
DTree,0.7687934301958307,gini,random,50,2128206034
DTree,0.770056854074542,gini,random,50,760921096
DTree,0.7536323436512951,gini,random,50,589168783
DTree,0.7498420720151611,gini,random,50,2146422736
DTree,0.7530006317119393,gini,random,50,667188868
DTree,0.7624763108022742,gini,random,50,1221157682
DTree,0.7612128869235628,gini,random,50,1013036670
DTree,0.7447883765003158,gini,random,50,809961102
DTree,0.7580543272267846,gini,random,50,1080129012
DTree,0.7353126974099811,gini,random,60,1729084363
DTree,0.7447883765003158,gini,random,60,408569002
DTree,0.7631080227416298,gini,random,60,503648777
DTree,0.7612128869235628,gini,random,60,68570989
DTree,0.7624763108022742,gini,random,60,1487612750
DTree,0.7523689197725837,gini,random,60,1445376209
DTree,0.7542640555906507,gini,random,60,969709381
DTree,0.7643714466203412,gini,random,60,182091126
DTree,0.7643714466203412,gini,random,60,1306682549
DTree,0.7599494630448516,gini,random,60,86419225
DTree,0.7593177511054959,gini,random,60,839684158
DTree,0.7631080227416298,gini,random,60,989259302
DTree,0.7466835123183828,gini,random,60,1945136865
DTree,0.7498420720151611,gini,random,60,37797708
DTree,0.7681617182564751,gini,random,60,1101641598
DTree,0.7422615287428932,gini,random,60,551979519
DTree,0.7365761212886923,gini,random,60,1207717938
DTree,0.7580543272267846,gini,random,60,1622062991
DTree,0.7548957675300063,gini,random,60,960863469
DTree,0.7542640555906507,gini,random,60,1325633112
DTree,0.7567909033480733,gini,random,70,1826967137
DTree,0.7637397346809854,gini,random,70,2147065183
DTree,0.7555274794693619,gini,random,70,474729134
DTree,0.7586860391661402,gini,random,70,474843490
DTree,0.7530006317119393,gini,random,70,1790741037
DTree,0.7637397346809854,gini,random,70,1589015357
DTree,0.7574226152874289,gini,random,70,1943967339
DTree,0.7593177511054959,gini,random,70,2000155264
DTree,0.7555274794693619,gini,random,70,315805992
DTree,0.7536323436512951,gini,random,70,1135662348
DTree,0.7586860391661402,gini,random,70,421199333
DTree,0.7485786481364498,gini,random,70,1507750429
DTree,0.7561591914087177,gini,random,70,1701674584
DTree,0.7567909033480733,gini,random,70,64932638
DTree,0.7637397346809854,gini,random,70,773517399
DTree,0.7561591914087177,gini,random,70,364651253
DTree,0.7479469361970941,gini,random,70,256354107
DTree,0.7706885660138977,gini,random,70,109737469
DTree,0.7473152242577384,gini,random,70,581417217
DTree,0.7391029690461149,gini,random,70,710180484
DTree,0.7631080227416298,gini,random,80,1600071782
DTree,0.7409981048641819,gini,random,80,1422471972
